listing_id,author_id,author_first_name,review,created_at,rating
7849932,31507694,Magalie,"Superbe appartement, bien decore et tres propre a deux pas d une station de metro. Quartier ds le 9eme tres agreable. Tres bonne communication avec l hote. Super sejour. Merci Pierre-Antoine !",2017-01-21T07:22:28Z,5
7849932,28956912,Frédéric,"Pierre-Antoine à notre disposition avec plusieurs messages de bienvenue et nous indiquant rester dispo si besoin.

9ème arrondisst. Mon quartier préféré.

Pierre-Antoine super dispo pour la remise des clés et le départ.
",2016-05-21T07:02:02Z,5
12331902,14222179,Alain,"J'ai passé un trés agréable séjour dans l'appartement de Marcin. Dés le premier contact, Marcin s'est montré cordial et attentionné. Il a préparé mon arrivée avec soin, et j'ai trouvé un appartement trés propre, fonctionnel, avec un charmant jardin, mais aussi personnalisé et ""vivant"" avec des livres, des DVD...le plus que l'on attend d'un logement Airbnb.
Le logement est idéalement situé au sein d'une résidence sécurisée, dans un quartier calme et agréable, et proche de tout.
Je relèverai pour finir la gentillesse de Marcin que je n'ai malheurement pas rencontré, mais qui s'est toujours montré prévenant, poli, et joignable.",2016-05-14T02:14:45Z,5
13893805,44881146,Bob,Very nice and cozy flat just beneath Sacré Coeur. My girlfriend had a very good time in Paris and just a few steps away from the Métro. The hoss were very nice and always with a reachable by phone and very helpful. Thank you very much Marion and Max :) ,2016-10-17T07:44:42Z,5
13893805,40520142,Joséphine,"Super weekend, merci Marion. L'appartement est cosy et l'emplacement est idéal, directement à coté de la butte Montmartre, avec pleins de restaurants autour! Merci également pour la bouteille, c'était une arrivée très sympathique. Je recommande cet endroit pour les futurs voyageurs :)",2016-09-11T09:59:22Z,5
13893805,29805447,Sandra,"El apartamento de Marion es muy acogedor, limpio y cómodo. Además su localización es fantástica, en un barrio lleno de vida y precioso. La acogida que tuvimos fue inmejorable y su amigo Reda es un encanto. Recomiendo totalmente alojarse en su apartamento.",2016-09-04T08:54:19Z,5
16371887,39137961,Dave,Manon was very easy to work with and super accommodating.  Her place was tastefully decorated and it’s location was perfect.  We highly recommend!,2022-08-01T11:21:01Z,5
16371887,138662109,Riya,A lovely spacious apartment in a great neighborhood! Really enjoyed our stay.,2022-06-27T13:35:20Z,5
16371887,2429313,Allen,"Manon's place was great! Checking in and out of the place was super easy. The apartment was clean and larger than expected. There's a washing machine for your clothes if needed. All the other essential amenities were there as well such as bath towels and toilet paper. The location was in a more quiet side of town though there are a couple of bars at the end of the block as well as a bakery right across the street. There's also a market next door for any essentials and larger ones 3-4 blocks away. Getting to places like the Louvre and Effel Tower required transferring once on the metro and generally took about 20-30 minutes to get to. We were able to wonder around the area and walked into the area of Bastille in about 20 minutes. If you're looking for a place that's a little less busy and lively, this is the place for you!",2019-09-30T13:08:10Z,5
16371887,7055547,Tege,"It was a pleasure staying at Manon’s apartment! Great central location in the happening 11th arrondissement, quiet, clean, good light overlooking a garden, with plants blooming in the springtime. I would definitely recommend her place!",2019-03-30T13:25:46Z,5
16371887,46294229,Bobby,Enjoyed staying at Manon’s place. Great space and perfect location explore Paris from.,2018-04-04T11:14:15Z,5
16371887,35154455,Victoria,"We really liked Manon’s apartment. It is in a really good location for the Marais and for the Canal St Martin/Oberkampf areas, and also close to two metro lines. What we really loved was how quiet it was, it looks over a peaceful internal courtyard garden. The photos don’t do justice to the main room, which is comfortable and well equipped. As others have mentioned, the loo cubicle is tiny, but it wasn’t a problem for us. We would happily stay here again.",2022-08-10T13:43:07Z,5
16371887,12306726,Danielle,Comfortable apartment in a great location. Would recommend.,2022-07-22T12:16:16Z,5
16371887,310925235,Inger Marie,Recommend!,2022-07-03T14:54:56Z,5
16371887,79547687,Barbara,"Very good location, uncomplicated check in and check out. The flat itself is very cosy and nice, especially bright and wonderfully quiet. It corresponds to the pictures. Only the toilet is a bit cramped (approx. 80x80 cm). 
We loved to be there. Highly recommended.",2022-05-23T13:38:51Z,5
16371887,106029401,Henryk,"We had a very nice journey in one of the most beautiful cities in the world. Manon's 2room appartement was clean, well equipped and located in a good corner to grab some food and to easily start the day to explore Paris. 
She was also very courteous and tried to help when there have been any kind of issues. So I can definitely recommend a stay at her place if you are a couple or at max 2 people.",2022-05-08T14:51:40Z,5
16371887,107353560,Jakub,Everytring was just perfect.,2022-04-10T12:36:16Z,5
16371887,9443097,Miho,This is my 3rd time to stay at Manon's place and it tells everything to prove how nice her place and she is! Thanks a lot!,2019-12-05T14:12:02Z,5
